dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,72.776,0.0,1210,19,1,9089
False,False,11,False,72.849,0.073,1210,24,2,9089
False,False,18,False,72.942,0.166,1210,20,3,9089
False,False,55,False,73.261,0.485,1210,20,4,9089
False,False,4,False,73.396,0.62,1210,21,5,9089
False,False,10,False,73.453,0.677,1210,24,6,9089
False,False,16,False,73.475,0.699,1210,19,7,9089
False,False,44,False,73.486,0.71,1210,17,8,9089
False,False,31,False,73.496,0.72,1210,18,9,9089
False,False,77,False,73.521,0.745,1210,20,10,9089
False,False,63,False,73.59,0.814,1210,18,11,9089
False,False,20,False,73.624,0.848,1210,13,12,9089
False,False,27,False,73.65,0.874,1210,16,13,9089
False,False,14,False,73.697,0.921,1210,18,14,9089
False,False,22,False,73.738,0.962,1210,21,15,9089
False,False,24,False,73.772,0.996,1210,20,16,9089
False,False,2,False,73.851,1.075,1210,19,17,9089
False,False,23,False,73.93,1.154,1210,23,18,9089
False,False,81,False,73.998,1.222,1210,18,19,9089
False,False,21,False,74.187,1.411,1210,24,20,9089
