dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,points,position,session_key
False,False,1,False,6531.98,0,1210,78,25.0,1.0,9094
False,False,14,False,6559.901,27.921,1210,78,18.0,2.0,9094
False,False,31,False,6568.97,36.99,1210,78,15.0,3.0,9094
False,False,44,False,6571.042,39.062,1210,78,13.0,4.0,9094
False,False,63,False,6588.264,56.284,1210,78,10.0,5.0,9094
False,False,16,False,6593.87,61.89,1210,78,8.0,6.0,9094
False,False,10,False,6594.342,62.362,1210,78,6.0,7.0,9094
False,False,55,False,6595.371,63.391,1210,78,4.0,8.0,9094
False,False,4,False,,+1 LAP,1210,77,2.0,9.0,9094
False,False,81,False,,+1 LAP,1210,77,1.0,10.0,9094
False,False,77,False,,+1 LAP,1210,77,0.0,11.0,9094
False,False,21,False,,+1 LAP,1210,77,0.0,12.0,9094
False,False,24,False,,+1 LAP,1210,77,0.0,13.0,9094
False,False,23,False,,+1 LAP,1210,77,0.0,14.0,9094
False,False,22,False,,+2 LAPS,1210,76,0.0,15.0,9094
False,False,11,False,,+2 LAPS,1210,76,0.0,16.0,9094
False,False,27,False,,+2 LAPS,1210,76,0.0,17.0,9094
False,False,2,False,,+2 LAPS,1210,76,0.0,18.0,9094
True,False,20,False,,,1210,70,0.0,19.0,9094
True,False,18,False,,,1210,53,0.0,,9094
